Drink,Old volume,Calories,Caffeine (mg),Type,Volume (ml)
Costa Coffee,257,0,277,Coffee,257
Coffee Friend Brewed Coffee,250.19181,0,145,Coffee,250
Hell Energy Coffee,250.19181,150,100,Coffee,250
Killer Coffee (AU),250.19181,0,430,Coffee,250
Nescafe Gold,250.19181,0,66,Coffee,250
Espresso Monster,248.4174,170,160,Coffee,248
Dunkin Donuts Shot In The Dark,239.54535,80,134,Coffee,240
Illy Issimo Cafe,201.0998,45,155,Coffee,201
Starbucks Doubleshot Espresso,192.22775,140,120,Coffee,192
TrueStart Performance Coffee,150.82485,0,95,Coffee,151
Bizzy Cold Brew,78.961245,0,125,Coffee,79
Zola Coconut Water Espresso,517.53625,0,125,Coffee,518
Barista Bros Iced Coffee,500.087885,204,140,Coffee,500
Dare Iced Coffee,500.087885,429,160,Coffee,500
V Iced Coffee,500.087885,345,155,Coffee,500
Bottled Iced Coffee Dunkin Donuts,405.15695,260,171,Coffee,405
Starbucks Bottled Frappuccino,405.15695,300,110,Coffee,405
Stok Cold Brew,405.15695,0,145,Coffee,405
Wide Awake Iced Coffee Drinks,405.15695,290,30,Coffee,405
Caribou Canned Cold Brew,340.09525,10,177,Coffee,340
McDonalds Iced Coffee,340.09525,180,133,Coffee,340
Premier Protein Cafe Latte,340.09525,160,120,Coffee,340
Stumptown Cold Brew Coffee,310.52175,3,279,Coffee,311
Espresso Shot,44.36025,0,77,Coffee,44
Peet's Coffee Espresso,44.36025,0,70,Coffee,44
Peet's Decaf Espresso,44.36025,0,10,Coffee,44
Gourmesso Coffee Pods,39.924225,0,65,Coffee,40
Nespresso Coffee Capsules,39.924225,0,60,Coffee,40
Stok Coffee Shots,12.716605,10,40,Coffee,13
Starbucks Bottled Iced Coffee,1419.528,240,640,Coffee,1420
Baskin Robbins Cappuccino Blast,709.764,470,234,Coffee,710
Dunkin' Cold Brew,709.764,5,260,Coffee,710
Dunkin' Donuts Iced Coffee,709.764,20,297,Coffee,710
Dunkin' Donuts Iced Latte,709.764,100,166,Coffee,710
Dutch Bros Coffee (Classic),591.47,10,187,Coffee,591
Tim Hortons Large Brewed Coffee,591.47,5,270,Coffee,591
7 Eleven Brewed Coffee,473.176,5,280,Coffee,473
Arby's Jamocha Shake,473.176,830,12,Coffee,473
Biggby Brewed Coffee,473.176,0,200,Coffee,473
Biggby Creamy Lattes,473.176,387,100,Coffee,473
Biggby Iced Coffee,473.176,0,155,Coffee,473
Caribou Brewed Coffee,473.176,5,305,Coffee,473
Coffee Bean & Tea leaf Coffee,473.176,5,333,Coffee,473
